lat,lon,first_crossing_year
-89.05759162303664,343.75,2041.0
-89.05759162303664,345.0,2041.0
-89.05759162303664,346.25,2041.0
-89.05759162303664,347.5,2041.0
-89.05759162303664,348.75,2041.0
-89.05759162303664,350.0,2041.0
-89.05759162303664,351.25,2041.0
-89.05759162303664,352.5,2041.0
-89.05759162303664,353.75,2041.0
-89.05759162303664,355.0,2041.0
-89.05759162303664,356.25,2041.0
-89.05759162303664,357.5,2041.0
-89.05759162303664,358.75,2041.0
-88.1151832460733,0.0,2041.0
-88.1151832460733,1.25,2041.0
-88.1151832460733,2.5,2041.0
-88.1151832460733,3.75,2041.0
-88.1151832460733,5.0,2041.0
-88.1151832460733,6.25,2041.0
-88.1151832460733,7.5,2041.0
-88.1151832460733,8.75,2041.0
-88.1151832460733,10.0,2041.0
-88.1151832460733,11.25,2041.0
-88.1151832460733,12.5,2041.0
-88.1151832460733,13.75,2041.0
-88.1151832460733,15.0,2041.0
-88.1151832460733,16.25,2041.0
-88.1151832460733,17.5,2041.0
-88.1151832460733,18.75,2041.0
-88.1151832460733,20.0,2041.0
-88.1151832460733,21.25,2041.0
-88.1151832460733,22.5,2041.0
-88.1151832460733,23.75,2041.0
-88.1151832460733,25.0,2041.0
-88.1151832460733,26.25,2041.0
-88.1151832460733,27.5,2041.0
-88.1151832460733,28.75,2041.0
-88.1151832460733,30.0,2041.0
-88.1151832460733,31.25,2041.0
-88.1151832460733,32.5,2041.0
-88.1151832460733,33.75,2041.0
-88.1151832460733,35.0,2041.0
-88.1151832460733,36.25,2041.0
-88.1151832460733,37.5,2041.0
-88.1151832460733,38.75,2041.0
-88.1151832460733,40.0,2041.0
-88.1151832460733,41.25,2041.0
-88.1151832460733,42.5,2041.0
-88.1151832460733,43.75,2041.0
-88.1151832460733,45.0,2041.0
-88.1151832460733,46.25,2041.0
-88.1151832460733,47.5,2041.0
-88.1151832460733,48.75,2041.0
-88.1151832460733,50.0,2041.0
-88.1151832460733,51.25,2041.0
-88.1151832460733,52.5,2041.0
-88.1151832460733,53.75,2041.0
-88.1151832460733,55.0,2041.0
-88.1151832460733,56.25,2041.0
-88.1151832460733,57.5,2041.0
-88.1151832460733,58.75,2041.0
-88.1151832460733,60.0,2041.0
-88.1151832460733,61.25,2041.0
-88.1151832460733,62.5,2041.0
-88.1151832460733,63.75,2041.0
-88.1151832460733,65.0,2041.0
-88.1151832460733,66.25,2041.0
-88.1151832460733,67.5,2041.0
-88.1151832460733,68.75,2041.0
-88.1151832460733,70.0,2041.0
-88.1151832460733,71.25,2041.0
-88.1151832460733,72.5,2041.0
-88.1151832460733,73.75,2041.0
-88.1151832460733,75.0,2041.0
-88.1151832460733,76.25,2041.0
-88.1151832460733,77.5,2041.0
